rank,city,count,percentage,avg_relevance,avg_quality
1,"OSLO",10526,17.27,36,54
2,"TRONDHEIM",1823,2.99,36,55
3,"BERGEN",1537,2.52,36,55
4,"STAVANGER",1271,2.09,37,56
5,"KRISTIANSAND S",1060,1.74,37,55
6,"DRAMMEN",809,1.33,37,55
7,"SANDNES",633,1.04,37,56
8,"TROMSØ",600,0.98,37,55
9,"BODØ",547,0.9,38,56
10,"SKIEN",544,0.89,37,56
11,"MOSS",501,0.82,37,56
12,"SANDEFJORD",497,0.82,38,56
13,"ASKER",448,0.74,36,55
14,"TØNSBERG",434,0.71,37,56
15,"ÅLESUND",432,0.71,37,55
16,"LILLEHAMMER",419,0.69,36,55
17,"FREDRIKSTAD",374,0.61,37,55
18,"HAUGESUND",366,0.6,38,56
19,"PORSGRUNN",357,0.59,37,55
20,"LARVIK",334,0.55,37,55
21,"HAMAR",331,0.54,36,55
22,"HØNEFOSS",311,0.51,37,56
23,"MOLDE",293,0.48,38,56
24,"KONGSBERG",275,0.45,37,55
25,"GJØVIK",270,0.44,36,55
26,"HARSTAD",266,0.44,37,56
27,"LILLESTRØM",259,0.42,37,55
28,"SKI",256,0.42,37,55
29,"HALDEN",255,0.42,37,56
30,"JESSHEIM",249,0.41,37,55
31,"VOSS",240,0.39,36,55
32,"LØRENSKOG",237,0.39,37,56
33,"HORTEN",234,0.38,37,55
34,"DRØBAK",233,0.38,36,54
35,"MO I RANA",228,0.37,36,57
36,"ARENDAL",220,0.36,38,57
37,"NESTTUN",218,0.36,37,55
38,"ELVERUM",215,0.35,37,55
39,"SARPSBORG",214,0.35,37,56
40,"GRIMSTAD",211,0.35,38,57
41,"RÅDAL",196,0.32,36,54
42,"HAFRSFJORD",194,0.32,37,54
43,"ALTA",190,0.31,37,57
44,"STEINKJER",180,0.3,37,57
45,"KRISTIANSUND N",178,0.29,38,56
46,"BEKKESTUA",173,0.28,36,55
47,"NØTTERØY",169,0.28,35,55
48,"ASKIM",165,0.27,37,54
49,"FYLLINGSDALEN",163,0.27,38,56
50,"KONGSVINGER",163,0.27,39,56